element number;temperature in °C;heat flux density in kW/m
300;600;2.668885659
301;600;2.671719296
302;600;2.674358831
303;600;2.677038019
304;600;2.679525003
305;600;2.682045428
306;600;2.684375028
307;600;2.686731512
308;600;2.688898088
309;600;2.691084714
310;600;2.693081964
311;600;2.695092235
312;600;2.696913357
313;600;2.698740371
314;400;-0.248216439
315;400;-0.246391828
316;400;-0.244568422
317;400;-0.242565388
318;400;-0.240563528
319;400;-0.238389011
320;400;-0.236215459
321;400;-0.23387599
322;400;-0.231537012
323;400;-0.229038535
324;400;-0.226539737
325;400;-0.223887455
326;400;-0.221233641
327;400;-0.218431891
328;400;-0.215626954
329;400;-0.212679115
330;400;-0.209725962
331;400;-0.206634399
332;400;-0.203534908
333;400;-0.200300942
334;400;-0.197055955
335;400;-0.19367987
336;400;-0.1902892
337;400;-0.186770268
338;400;-0.183232744
339;400;-0.179569275
340;400;-0.1758828
341;400;-0.172072212
342;400;-0.168233831
343;400;-0.164272728
344;400;-0.160278721
345;400;-0.15616299
346;400;-0.152008969
347;400;-0.147733879
348;400;-0.143414893
349;400;-0.13897521
350;400;-0.134485862
351;400;-0.129875966
352;400;-0.125210534
353;400;-0.12042454
354;400;-0.115577102
355;400;-0.110608988
356;400;-0.105573545
357;400;-0.108405404
358;400;-0.111128443
359;400;-0.113693866
360;400;-0.116145782
361;400;-0.118439771
362;400;-0.120615629
363;400;-0.122633557
364;400;-0.124528845
365;400;-0.126266536
366;400;-0.12787724
367;400;-0.129331035
368;400;-0.130653692
369;400;-0.131820496
370;400;-0.132852236
371;400;-0.133729545
372;400;-0.13446812
373;400;-0.135054046
374;400;-0.135497839
375;400;-0.135791118
376;400;-0.135939157
377;400;-0.135939157
