element number;node1;node2;center of mass;;normal vector;;area in m
89;94;95;1.07;0.3;0;-1;0.02
90;95;96;1.09;0.3;0;-1;0.02
91;96;97;1.11;0.3;0;-1;0.02
92;97;98;1.13;0.3;0;-1;0.02
93;98;99;1.15;0.3;0;-1;0.02
94;99;100;1.17;0.3;0;-1;0.02
95;100;101;1.19;0.3;0;-1;0.02
96;101;102;1.21;0.3;0;-1;0.02
97;102;103;1.23;0.3;0;-1;0.02
98;103;104;1.25;0.3;0;-1;0.02
99;104;105;1.27;0.3;0;-1;0.02
100;105;106;1.29;0.3;0;-1;0.02
101;107;108;1.3;0.29;-1;0;0.02
102;108;109;1.3;0.27;-1;0;0.02
103;109;110;1.3;0.25;-1;0;0.02
104;110;111;1.3;0.23;-1;0;0.02
105;111;112;1.3;0.21;-1;0;0.02
106;112;113;1.3;0.19;-1;0;0.02
107;113;114;1.3;0.17;-1;0;0.02
108;114;115;1.3;0.15;-1;0;0.02
109;115;116;1.3;0.13;-1;0;0.02
110;116;117;1.3;0.11;-1;0;0.02
111;117;118;1.3;0.09;-1;0;0.02
112;118;119;1.3;0.07;-1;0;0.02
113;119;120;1.3;0.05;-1;0;0.02
114;120;121;1.3;0.03;-1;0;0.02
115;121;122;1.3;0.01;-1;0;0.02
116;123;124;1.29;0;0;1;0.02
117;124;125;1.27;0;0;1;0.02
118;125;126;1.25;0;0;1;0.02
119;126;127;1.23;0;0;1;0.02
120;127;128;1.21;0;0;1;0.02
121;128;129;1.19;0;0;1;0.02
122;129;130;1.17;0;0;1;0.02
123;130;131;1.15;0;0;1;0.02
124;131;132;1.13;0;0;1;0.02
125;132;133;1.11;0;0;1;0.02
126;134;135;0.01;0.4;0;1;0.02
127;135;136;0.03;0.4;0;1;0.02
128;136;137;0.05;0.4;0;1;0.02
129;137;138;0.07;0.4;0;1;0.02
130;138;139;0.09;0.4;0;1;0.02
131;139;140;0.11;0.4;0;1;0.02
132;140;141;0.13;0.4;0;1;0.02
133;141;142;0.15;0.4;0;1;0.02
134;142;143;0.17;0.4;0;1;0.02
135;143;144;0.19;0.4;0;1;0.02
136;144;145;0.21;0.4;0;1;0.02
137;145;146;0.23;0.4;0;1;0.02
138;146;147;0.25;0.4;0;1;0.02
139;147;148;0.27;0.4;0;1;0.02
140;148;149;0.29;0.4;0;1;0.02
141;150;151;0.3;0.39;1;0;0.02
142;151;152;0.3;0.37;1;0;0.02
143;152;153;0.3;0.35;1;0;0.02
144;153;154;0.3;0.33;1;0;0.02
145;154;155;0.3;0.31;1;0;0.02
146;155;156;0.3;0.29;1;0;0.02
147;156;157;0.3;0.27;1;0;0.02
148;157;158;0.3;0.25;1;0;0.02
149;158;159;0.3;0.23;1;0;0.02
150;159;160;0.3;0.21;1;0;0.02
151;160;161;0.3;0.19;1;0;0.02
152;161;162;0.3;0.17;1;0;0.02
153;162;163;0.3;0.15;1;0;0.02
154;163;164;0.3;0.13;1;0;0.02
155;164;165;0.3;0.11;1;0;0.02
156;165;166;0.3;0.09;1;0;0.02
157;166;167;0.3;0.07;1;0;0.02
158;167;168;0.3;0.05;1;0;0.02
159;168;169;0.3;0.03;1;0;0.02
160;169;170;0.3;0.01;1;0;0.02
161;171;172;0.31;0;0;1;0.02
162;172;173;0.33;0;0;1;0.02
163;173;174;0.35;0;0;1;0.02
164;174;175;0.37;0;0;1;0.02
165;175;176;0.39;0;0;1;0.02
166;176;177;0.41;0;0;1;0.02
167;177;178;0.43;0;0;1;0.02
168;178;179;0.45;0;0;1;0.02
169;179;180;0.47;0;0;1;0.02
170;180;181;0.49;0;0;1;0.02
171;181;182;0.51;0;0;1;0.02
172;182;183;0.53;0;0;1;0.02
173;183;184;0.55;0;0;1;0.02
174;184;185;0.57;0;0;1;0.02
175;185;186;0.59;0;0;1;0.02
176;186;187;0.61;0;0;1;0.02
177;187;188;0.63;0;0;1;0.02
178;188;189;0.65;0;0;1;0.02
179;189;190;0.67;0;0;1;0.02
180;190;191;0.69;0;0;1;0.02
181;191;192;0.71;0;0;1;0.02
182;192;193;0.73;0;0;1;0.02
183;193;194;0.75;0;0;1;0.02
184;194;195;0.77;0;0;1;0.02
185;195;196;0.79;0;0;1;0.02
186;196;197;0.81;0;0;1;0.02
187;197;198;0.83;0;0;1;0.02
188;198;199;0.85;0;0;1;0.02
189;199;200;0.87;0;0;1;0.02
190;200;201;0.89;0;0;1;0.02
191;202;203;0.9;0.01;-1;0;0.02
192;203;204;0.9;0.03;-1;0;0.02
193;204;205;0.9;0.05;-1;0;0.02
194;205;206;0.9;0.07;-1;0;0.02
195;206;207;0.9;0.09;-1;0;0.02
196;207;208;0.9;0.11;-1;0;0.02
197;208;209;0.9;0.13;-1;0;0.02
198;209;210;0.9;0.15;-1;0;0.02
199;210;211;0.9;0.17;-1;0;0.02
200;211;212;0.9;0.19;-1;0;0.02
201;213;214;0.91;0.2;0;1;0.02
202;214;215;0.93;0.2;0;1;0.02
203;215;216;0.95;0.2;0;1;0.02
204;216;217;0.97;0.2;0;1;0.02
205;217;218;0.99;0.2;0;1;0.02
206;218;219;1.01;0.2;0;1;0.02
207;219;220;1.03;0.2;0;1;0.02
208;220;221;1.05;0.2;0;1;0.02
209;221;222;1.07;0.2;0;1;0.02
210;222;223;1.09;0.2;0;1;0.02
211;223;224;1.11;0.2;0;1;0.02
212;224;225;1.13;0.2;0;1;0.02
213;225;226;1.15;0.2;0;1;0.02
214;226;227;1.17;0.2;0;1;0.02
215;227;228;1.19;0.2;0;1;0.02
216;229;230;1.2;0.19;1;0;0.02
217;230;231;1.2;0.17;1;0;0.02
218;231;232;1.2;0.15;1;0;0.02
219;232;233;1.2;0.13;1;0;0.02
220;233;234;1.2;0.11;1;0;0.02
221;235;236;1.19;0.1;0;-1;0.02
222;236;237;1.17;0.1;0;-1;0.02
223;237;238;1.15;0.1;0;-1;0.02
224;238;239;1.13;0.1;0;-1;0.02
225;239;240;1.11;0.1;0;-1;0.02
226;241;242;1.1;0.01;1;0;0.02
227;242;243;1.1;0.03;1;0;0.02
228;243;244;1.1;0.05;1;0;0.02
229;244;245;1.1;0.07;1;0;0.02
230;245;246;1.1;0.09;1;0;0.02
