element number;node1;node2;center of mass;;normal vector;;area in m
;;;x-coordinate in m;y-coordinate in m;x-part of vector in m;y-part of vector in m;
1;1;2;0;0.41;1;0;0.02
2;2;3;0;0.43;1;0;0.02
3;3;4;0;0.45;1;0;0.02
4;4;5;0;0.47;1;0;0.02
5;5;6;0;0.49;1;0;0.02
6;7;8;0.01;0.5;0;-1;0.02
7;8;9;0.03;0.5;0;-1;0.02
8;9;10;0.05;0.5;0;-1;0.02
9;10;11;0.07;0.5;0;-1;0.02
10;11;12;0.09;0.5;0;-1;0.02
11;12;13;0.11;0.5;0;-1;0.02
12;13;14;0.13;0.5;0;-1;0.02
13;14;15;0.15;0.5;0;-1;0.02
14;15;16;0.17;0.5;0;-1;0.02
15;16;17;0.19;0.5;0;-1;0.02
16;17;18;0.21;0.5;0;-1;0.02
17;18;19;0.23;0.5;0;-1;0.02
18;19;20;0.25;0.5;0;-1;0.02
19;20;21;0.27;0.5;0;-1;0.02
20;21;22;0.29;0.5;0;-1;0.02
21;22;23;0.31;0.5;0;-1;0.02
22;23;24;0.33;0.5;0;-1;0.02
23;24;25;0.35;0.5;0;-1;0.02
24;25;26;0.37;0.5;0;-1;0.02
25;26;27;0.39;0.5;0;-1;0.02
26;28;29;0.4;0.49;-1;0;0.02
27;29;30;0.4;0.47;-1;0;0.02
28;30;31;0.4;0.45;-1;0;0.02
29;31;32;0.4;0.43;-1;0;0.02
30;32;33;0.4;0.41;-1;0;0.02
31;33;34;0.4;0.39;-1;0;0.02
32;34;35;0.4;0.37;-1;0;0.02
33;35;36;0.4;0.35;-1;0;0.02
34;36;37;0.4;0.33;-1;0;0.02
35;37;38;0.4;0.31;-1;0;0.02
36;38;39;0.4;0.29;-1;0;0.02
37;39;40;0.4;0.27;-1;0;0.02
38;40;41;0.4;0.25;-1;0;0.02
39;41;42;0.4;0.23;-1;0;0.02
40;42;43;0.4;0.21;-1;0;0.02
41;43;44;0.4;0.19;-1;0;0.02
42;44;45;0.4;0.17;-1;0;0.02
43;45;46;0.4;0.15;-1;0;0.02
44;46;47;0.4;0.13;-1;0;0.02
45;47;48;0.4;0.11;-1;0;0.02
46;49;50;0.41;0.1;0;-1;0.02
47;50;51;0.43;0.1;0;-1;0.02
48;51;52;0.45;0.1;0;-1;0.02
49;52;53;0.47;0.1;0;-1;0.02
50;53;54;0.49;0.1;0;-1;0.02
51;54;55;0.51;0.1;0;-1;0.02
52;55;56;0.53;0.1;0;-1;0.02
53;56;57;0.55;0.1;0;-1;0.02
54;57;58;0.57;0.1;0;-1;0.02
55;58;59;0.59;0.1;0;-1;0.02
56;59;60;0.61;0.1;0;-1;0.02
57;60;61;0.63;0.1;0;-1;0.02
58;61;62;0.65;0.1;0;-1;0.02
59;62;63;0.67;0.1;0;-1;0.02
60;63;64;0.69;0.1;0;-1;0.02
61;64;65;0.71;0.1;0;-1;0.02
62;65;66;0.73;0.1;0;-1;0.02
63;66;67;0.75;0.1;0;-1;0.02
64;67;68;0.77;0.1;0;-1;0.02
65;68;69;0.79;0.1;0;-1;0.02
66;70;71;0.8;0.11;1;0;0.02
67;71;72;0.8;0.13;1;0;0.02
68;72;73;0.8;0.15;1;0;0.02
69;73;74;0.8;0.17;1;0;0.02
70;74;75;0.8;0.19;1;0;0.02
71;75;76;0.8;0.21;1;0;0.02
72;76;77;0.8;0.23;1;0;0.02
73;77;78;0.8;0.25;1;0;0.02
74;78;79;0.8;0.27;1;0;0.02
75;79;80;0.8;0.29;1;0;0.02
76;81;82;0.81;0.3;0;-1;0.02
77;82;83;0.83;0.3;0;-1;0.02
78;83;84;0.85;0.3;0;-1;0.02
79;84;85;0.87;0.3;0;-1;0.02
80;85;86;0.89;0.3;0;-1;0.02
81;86;87;0.91;0.3;0;-1;0.02
82;87;88;0.93;0.3;0;-1;0.02
83;88;89;0.95;0.3;0;-1;0.02
84;89;90;0.97;0.3;0;-1;0.02
85;90;91;0.99;0.3;0;-1;0.02
86;91;92;1.01;0.3;0;-1;0.02
87;92;93;1.03;0.3;0;-1;0.02
88;93;94;1.05;0.3;0;-1;0.02
