node number;x-coordinate in m;y-coordinate in m
1;1.199440106;0.819922689
2;1.197949648;0.839811473
3;1.195469668;0.859601241
4;1.192006333;0.879242792
5;1.187568252;0.898687293
6;1.18216646;0.917886404
7;1.175814386;0.936792392
8;1.168527822;0.955358253
9;1.160324885;0.97353783
10;1.151225967;0.991285926
11;1.14125369;1.008558416
12;1.130432847;1.025312357
13;1.118790341;1.041506098
14;1.106355115;1.057099378
15;1.093158086;1.072053429
16;1.079232065;1.086331074
17;1.064611673;1.099896815
18;1.049333258;1.112716927
19;1.033434807;1.124759537
20;1.016955843;1.135994704
21;0.999937338;1.146394496
22;0.982421601;1.155933058
23;0.964452179;1.164586675
24;0.946073747;1.172333834
25;0.927331998;1.179155273
26;0.908273525;1.185034033
27;0.888945711;1.189955499
28;0.869396609;1.193907435
29;0.84967482;1.196880017
30;0.829829375;1.198865853
31;0.809909614;1.199860007
32;0.789965061;1.199860007
33;0.7700453;1.198865853
34;0.750199856;1.196880017
35;0.730478067;1.193907435
36;0.710928964;1.189955499
37;0.69160115;1.185034033
38;0.672542678;1.179155273
39;0.653800928;1.172333834
40;0.635422496;1.164586675
41;0.617453075;1.155933058
42;0.599937338;1.146394496
43;0.582918832;1.135994704
44;0.566439869;1.124759537
45;0.550541417;1.112716927
46;0.535263003;1.099896815
47;0.52064261;1.086331074
48;0.506716589;1.072053429
49;0.49351956;1.057099378
50;0.481084335;1.041506098
51;0.469441828;1.025312357
52;0.458620985;1.008558416
53;0.448648708;0.991285926
54;0.43954979;0.97353783
55;0.431346853;0.955358253
56;0.424060289;0.936792392
57;0.417708215;0.917886404
58;0.412306423;0.898687293
59;0.407868343;0.879242792
60;0.404405007;0.859601241
61;0.401925028;0.839811473
62;0.400434569;0.819922689
63;0.399937338;0.799984334
64;0.400434569;0.78004598
65;0.401925028;0.760157196
66;0.404405007;0.740367428
67;0.407868343;0.720725877
68;0.412306423;0.701281375
69;0.417708215;0.682082264
70;0.424060289;0.663176277
71;0.431346853;0.644610416
72;0.43954979;0.626430839
73;0.448648708;0.608682743
74;0.458620985;0.591410253
75;0.469441828;0.574656311
76;0.481084335;0.55846257
77;0.49351956;0.54286929
78;0.506716589;0.527915239
79;0.52064261;0.513637595
80;0.535263003;0.500071853
81;0.550541417;0.487251741
82;0.566439869;0.475209132
83;0.582918832;0.463973965
84;0.599937338;0.453574173
85;0.617453075;0.444035611
86;0.635422496;0.435381993
87;0.653800928;0.427634835
88;0.672542678;0.420813396
89;0.69160115;0.414934635
90;0.710928964;0.410013169
91;0.730478067;0.406061233
92;0.750199856;0.403088652
93;0.7700453;0.401102815
94;0.789965061;0.400108661
95;0.809909614;0.400108661
96;0.829829375;0.401102815
97;0.84967482;0.403088652
98;0.869396609;0.406061233
99;0.888945711;0.410013169
100;0.908273525;0.414934635
101;0.927331998;0.420813396
102;0.946073747;0.427634835
103;0.964452179;0.435381993
104;0.982421601;0.444035611
105;0.999937338;0.453574173
106;1.016955843;0.463973965
107;1.033434807;0.475209132
108;1.049333258;0.487251741
109;1.064611673;0.500071853
110;1.079232065;0.513637595
111;1.093158086;0.527915239
112;1.106355115;0.54286929
113;1.118790341;0.55846257
114;1.130432847;0.574656311
115;1.14125369;0.591410253
116;1.151225967;0.608682743
117;1.160324885;0.626430839
118;1.168527822;0.644610416
119;1.175814386;0.663176277
120;1.18216646;0.682082264
121;1.187568252;0.701281375
122;1.192006333;0.720725877
123;1.195469668;0.740367428
124;1.197949648;0.760157196
125;1.199440106;0.78004598
126;1.199937338;0.799984334
127;1.599686698;0.820008331
128;1.598934936;0.840019782
129;1.597682524;0.860006146
130;1.595930245;0.8799549
131;1.593679198;0.899853545
132;1.590930793;0.919689612
133;1.587686753;0.939450672
134;1.583949109;0.959124342
135;1.579720205;0.978698296
136;1.57500269;0.998160267
137;1.569799519;1.017498062
138;1.564113954;1.036699563
139;1.557949556;1.055752738
140;1.551310189;1.074645649
141;1.544200013;1.093366457
142;1.536623482;1.111903433
143;1.528585345;1.130244961
144;1.520090638;1.148379547
145;1.511144683;1.16629583
146;1.501753087;1.183982582
147;1.491921733;1.201428721
148;1.481656784;1.218623316
149;1.470964669;1.235555592
150;1.459852089;1.25221494
151;1.448326008;1.26859092
152;1.436393647;1.284673272
153;1.424062483;1.300451918
154;1.411340243;1.315916972
155;1.398234899;1.331058743
156;1.384754662;1.345867744
157;1.370907979;1.360334695
158;1.356703527;1.37445053
159;1.342150206;1.388206406
160;1.327257134;1.401593703
161;1.312033645;1.414604031
162;1.296489276;1.42722924
163;1.280633769;1.439461418
164;1.264477058;1.4512929
165;1.248029267;1.462716273
166;1.231300702;1.473724379
167;1.214301845;1.48431032
168;1.197043348;1.494467463
169;1.179536024;1.504189444
170;1.161790845;1.513470171
171;1.143818928;1.522303828
172;1.125631536;1.530684881
173;1.107240064;1.538608078
174;1.088656037;1.546068453
175;1.069891098;1.553061334
176;1.050957007;1.559582337
177;1.031865628;1.565627377
178;1.012628922;1.571192665
179;0.993258944;1.576274716
180;0.973767831;1.580870344
181;0.954167796;1.584976669
182;0.93447112;1.588591119
183;0.914690146;1.591711429
184;0.894837267;1.594335644
185;0.874924925;1.596462119
186;0.854965595;1.598089522
187;0.834971785;1.599216833
188;0.814956022;1.599843346
189;0.794930848;1.599968669
190;0.774908812;1.599592721
191;0.754902458;1.598715741
192;0.734924323;1.597338276
193;0.714986925;1.59546119
194;0.695102757;1.593085659
195;0.675284278;1.590213171
196;0.655543907;1.586845527
197;0.635894013;1.582984837
198;0.616346907;1.57863352
199;0.59691484;1.573794301
200;0.577609986;1.568470215
201;0.558444442;1.562664596
202;0.539430217;1.556381082
203;0.520579226;1.549623611
204;0.50190328;1.542396417
