node number;x-coordinate in m;y-coordinate in m
205;0.483414083;1.534704028
206;0.465123218;1.526551265
207;0.447042147;1.517943236
208;0.4291822;1.508885334
209;0.411554568;1.499383236
210;0.394170296;1.489442896
211;0.377040277;1.479070541
212;0.360175245;1.468272672
213;0.343585768;1.457056054
214;0.32728224;1.445427715
215;0.311274877;1.433394943
216;0.295573709;1.420965276
217;0.280188575;1.408146503
218;0.265129115;1.394946657
219;0.250404765;1.381374007
220;0.236024752;1.36743706
221;0.221998086;1.353144547
222;0.208333556;1.338505425
223;0.195039724;1.323528866
224;0.18212492;1.308224255
225;0.169597237;1.292601181
226;0.157464524;1.276669434
227;0.145734384;1.260438996
228;0.134414167;1.243920038
229;0.123510966;1.227122911
230;0.113031613;1.210058139
231;0.102982674;1.192736415
232;0.093370446;1.175168593
233;0.084200953;1.157365682
234;0.075479939;1.139338835
235;0.067212869;1.121099349
236;0.059404923;1.102658653
237;0.052060995;1.084028302
238;0.045185684;1.065219969
239;0.038783301;1.046245439
240;0.032857855;1.027116603
241;0.027413061;1.007845446
242;0.022452329;0.988444043
243;0.017978769;0.968924552
244;0.013995183;0.949299203
245;0.010504068;0.929580293
246;0.00750761;0.909780179
247;0.005007689;0.889911266
248;0.003005869;0.869986006
249;0.001503405;0.850016883
250;0.00050124;0.830016409
251;0;0.809997117
252;0;0.789971551
253;0.00050124;0.76995226
254;0.001503405;0.749951786
255;0.003005869;0.729982663
256;0.005007689;0.710057402
257;0.00750761;0.69018849
258;0.010504068;0.670388376
259;0.013995183;0.650669466
260;0.017978769;0.631044117
261;0.022452329;0.611524625
262;0.027413061;0.592123223
263;0.032857855;0.572852066
264;0.038783301;0.553723229
265;0.045185684;0.5347487
266;0.052060995;0.515940367
267;0.059404923;0.497310015
268;0.067212869;0.478869319
269;0.075479939;0.460629834
270;0.084200953;0.442602987
271;0.093370446;0.424800075
272;0.102982674;0.407232253
273;0.113031613;0.38991053
274;0.123510966;0.372845758
275;0.134414167;0.35604863
276;0.145734384;0.339529672
277;0.157464524;0.323299235
278;0.169597237;0.307367488
279;0.18212492;0.291744414
280;0.195039724;0.276439803
281;0.208333556;0.261463244
282;0.221998086;0.246824121
283;0.236024752;0.232531609
284;0.250404765;0.218594661
285;0.265129115;0.205022012
286;0.280188575;0.191822165
287;0.295573709;0.179003393
288;0.311274877;0.166573726
289;0.32728224;0.154540953
290;0.343585768;0.142912615
291;0.360175245;0.131695997
292;0.377040277;0.120898127
293;0.394170296;0.110525773
294;0.411554568;0.100585432
295;0.4291822;0.091083334
296;0.447042147;0.082025433
297;0.465123218;0.073417403
298;0.483414083;0.06526464
299;0.50190328;0.057572251
300;0.520579226;0.050345057
301;0.539430217;0.043587586
302;0.558444442;0.037304073
303;0.577609986;0.031498454
304;0.59691484;0.026174367
305;0.616346907;0.021335149
306;0.635894013;0.016983831
307;0.655543907;0.013123141
308;0.675284278;0.009755497
309;0.695102757;0.00688301
310;0.714986925;0.004507479
311;0.734924323;0.002630393
312;0.754902458;0.001252928
313;0.774908812;0.000375947
314;0.794930848;0
315;0.814956022;0.000125322
316;0.834971785;0.000751835
317;0.854965595;0.001879146
318;0.874924925;0.003506549
319;0.894837267;0.005633024
320;0.914690146;0.008257239
321;0.93447112;0.011377549
322;0.954167796;0.014991999
323;0.973767831;0.019098325
324;0.993258944;0.023693953
325;1.012628922;0.028776003
326;1.031865628;0.034341292
327;1.050957007;0.040386332
328;1.069891098;0.046907335
329;1.088656037;0.053900215
330;1.107240064;0.061360591
331;1.125631536;0.069283787
332;1.143818928;0.07766484
333;1.161790845;0.086498498
334;1.179536024;0.095779224
335;1.197043348;0.105501205
336;1.214301845;0.115658348
337;1.231300702;0.126244289
338;1.248029267;0.137252395
339;1.264477058;0.148675768
340;1.280633769;0.16050725
341;1.296489276;0.172739428
342;1.312033645;0.185364637
343;1.327257134;0.198374966
344;1.342150206;0.211762262
345;1.356703527;0.225518138
346;1.370907979;0.239633974
347;1.384754662;0.254100925
348;1.398234899;0.268909925
349;1.411340243;0.284051696
350;1.424062483;0.29951675
351;1.436393647;0.315295397
352;1.448326008;0.331377749
353;1.459852089;0.347753729
354;1.470964669;0.364413076
355;1.481656784;0.381345352
356;1.491921733;0.398539947
357;1.501753087;0.415986086
358;1.511144683;0.433672839
359;1.520090638;0.451589121
360;1.528585345;0.469723708
361;1.536623482;0.488065235
362;1.544200013;0.506602211
363;1.551310189;0.52532302
364;1.557949556;0.544215931
365;1.564113954;0.563269106
366;1.569799519;0.582470607
367;1.57500269;0.601808401
368;1.579720205;0.621270373
369;1.583949109;0.640844326
370;1.587686753;0.660517997
371;1.590930793;0.680279056
372;1.593679198;0.700115123
373;1.595930245;0.720013768
374;1.597682524;0.739962523
375;1.598934936;0.759948887
376;1.599686698;0.779960337
377;1.599937338;0.799984334
