element number;temperature in °C;emissivity = 0.0001;;emissivity = 0.05;;emissivity = 0.75;
;;emissivity;incoming heat flux density in kW/m;emissivity;incoming heat flux density in kW/m;emissivity;incoming heat flux density in kW/m
91;400;0.0001;0.000151695;0.05;0.00475919;0.75;5.50E-08
92;400;0.0001;0.000146686;0.05;0.004542875;0.75;4.96E-08
93;400;0.0001;0.000139734;0.05;0.004271412;0.75;4.44E-08
94;400;0.0001;0.000133199;0.05;0.004019694;0.75;4.00E-08
95;400;0.0001;0.000126421;0.05;0.003771143;0.75;3.64E-08
96;400;0.0001;0.000121063;0.05;0.003577988;0.75;3.37E-08
97;400;0.0001;0.000116158;0.05;0.003402581;0.75;3.10E-08
98;400;0.0001;0.000114159;0.05;0.003310837;0.75;2.29E-08
99;400;0.0001;0.000112709;0.05;0.003264176;0.75;2.23E-08
100;400;0.0001;0.000114636;0.05;0.003327226;0.75;2.26E-08
101;400;0.0001;0.000131238;0.05;0.004081876;0.75;8.04E-08
102;400;0.0001;0.000132026;0.05;0.004134127;0.75;8.56E-08
103;400;0.0001;0.000131701;0.05;0.004143647;0.75;9.01E-08
104;400;0.0001;0.000126499;0.05;0.003931747;0.75;7.47E-08
105;400;0.0001;0.000121635;0.05;0.003780674;0.75;7.65E-08
106;400;0.0001;0.000115046;0.05;0.003478644;0.75;5.25E-08
107;400;0.0001;0.000103697;0.05;0.002972206;0.75;2.04E-08
108;400;0.0001;9.23E-05;0.05;0.002523634;0.75;5.12E-09
109;400;0.0001;8.23E-05;0.05;0.002205345;0.75;3.32E-09
110;400;0.0001;7.02E-05;0.05;0.001865111;0.75;2.51E-09
111;400;0.0001;6.45E-05;0.05;0.00169407;0.75;1.99E-09
112;400;0.0001;5.90E-05;0.05;0.001531058;0.75;1.56E-09
113;400;0.0001;5.51E-05;0.05;0.001413099;0.75;1.22E-09
114;400;0.0001;5.43E-05;0.05;0.001384593;0.75;1.10E-09
115;400;0.0001;5.49E-05;0.05;0.001388475;0.75;9.89E-10
116;400;0.0001;7.01E-05;0.05;0.00181796;0.75;2.16E-09
117;400;0.0001;7.17E-05;0.05;0.001878648;0.75;2.61E-09
118;400;0.0001;6.99E-05;0.05;0.001834096;0.75;2.75E-09
119;400;0.0001;6.81E-05;0.05;0.001794387;0.75;2.98E-09
120;400;0.0001;6.26E-05;0.05;0.001646281;0.75;2.89E-09
121;400;0.0001;5.65E-05;0.05;0.001481264;0.75;2.69E-09
122;400;0.0001;4.89E-05;0.05;0.001271638;0.75;2.33E-09
123;400;0.0001;4.14E-05;0.05;0.001069557;0.75;2.06E-09
124;400;0.0001;3.33E-05;0.05;0.000843948;0.75;1.15E-09
125;400;0.0001;2.75E-05;0.05;0.000690186;0.75;7.82E-10
126;400;0.0001;0.000567079;0.05;0.238825306;0.75;2.165793097
127;400;0.0001;0.000562439;0.05;0.227742086;0.75;1.770905182
128;400;0.0001;0.00055767;0.05;0.216869301;0.75;1.425952962
129;400;0.0001;0.000552897;0.05;0.206592549;0.75;1.144276989
130;400;0.0001;0.000548162;0.05;0.197033301;0.75;0.922815499
131;400;0.0001;0.000543462;0.05;0.18817062;0.75;0.751310742
132;400;0.0001;0.000538778;0.05;0.17993386;0.75;0.61866044
133;400;0.0001;0.000534083;0.05;0.172245624;0.75;0.515472666
134;400;0.0001;0.000529356;0.05;0.16503944;0.75;0.434526679
135;400;0.0001;0.000524585;0.05;0.158267686;0.75;0.370482734
136;400;0.0001;0.000519774;0.05;0.151904494;0.75;0.319444919
137;400;0.0001;0.000514954;0.05;0.145950651;0.75;0.278580168
138;400;0.0001;0.000510202;0.05;0.140445136;0.75;0.245838314
139;400;0.0001;0.000505659;0.05;0.135475062;0.75;0.219759178
140;400;0.0001;0.000501526;0.05;0.131169623;0.75;0.199338423
141;400;0.0001;0.000470867;0.05;0.100248855;0.75;0.063444017
142;400;0.0001;0.00046661;0.05;0.095821128;0.75;0.052420752
143;400;0.0001;0.000462004;0.05;0.09121371;0.75;0.041831079
144;400;0.0001;0.000457253;0.05;0.086705074;0.75;0.032741561
145;400;0.0001;0.000452494;0.05;0.082458217;0.75;0.025500578
146;400;0.0001;0.00044681;0.05;0.07800379;0.75;0.019723301
147;400;0.0001;0.000442192;0.05;0.074416638;0.75;0.015608075
148;400;0.0001;0.000437711;0.05;0.071155696;0.75;0.012536957
149;400;0.0001;0.000432181;0.05;0.067618165;0.75;0.010070582
150;400;0.0001;0.000426756;0.05;0.064372596;0.75;0.008217255
151;400;0.0001;0.000421533;0.05;0.061437765;0.75;0.006827449
152;400;0.0001;0.000416615;0.05;0.058834087;0.75;0.005794941
153;400;0.0001;0.000410082;0.05;0.055755913;0.75;0.004911902
154;400;0.0001;0.000401919;0.05;0.052418151;0.75;0.004206992
155;400;0.0001;0.000392136;0.05;0.049172603;0.75;0.003687504
156;400;0.0001;0.000383545;0.05;0.046250898;0.75;0.003228743
157;400;0.0001;0.00038008;0.05;0.044742015;0.75;0.002915809
158;400;0.0001;0.000378095;0.05;0.043888062;0.75;0.002701931
159;400;0.0001;0.000375881;0.05;0.043251297;0.75;0.002541351
160;400;0.0001;0.000376755;0.05;0.043659218;0.75;0.002520768
161;400;0.0001;0.000397789;0.05;0.053359848;0.75;0.008374087
162;400;0.0001;0.000398274;0.05;0.053302762;0.75;0.007784035
163;400;0.0001;0.000399091;0.05;0.053882547;0.75;0.007878198
164;400;0.0001;0.000396446;0.05;0.052557363;0.75;0.007080701
165;400;0.0001;0.000392251;0.05;0.050600663;0.75;0.006195398
166;400;0.0001;0.000384844;0.05;0.046540751;0.75;0.004201634
167;400;0.0001;0.00037679;0.05;0.041954114;0.75;0.001900155
168;400;0.0001;0.000367844;0.05;0.037373068;0.75;0.000525213
169;400;0.0001;0.00036083;0.05;0.034673511;0.75;0.000338493
170;400;0.0001;0.000356186;0.05;0.033012185;0.75;0.000269483
171;400;0.0001;0.000351312;0.05;0.031351488;0.75;0.000210987
172;400;0.0001;0.000346322;0.05;0.029734958;0.75;0.000162523
173;400;0.0001;0.000341326;0.05;0.028200239;0.75;0.000123326
174;400;0.0001;0.000337454;0.05;0.027145289;0.75;0.000108419
175;400;0.0001;0.000333548;0.05;0.026136096;0.75;9.57E-05
176;400;0.0001;0.000327695;0.05;0.024696241;0.75;7.09E-05
177;400;0.0001;0.000323792;0.05;0.023807614;0.75;6.28E-05
178;400;0.0001;0.00031993;0.05;0.02297548;0.75;5.61E-05
179;400;0.0001;0.000314877;0.05;0.022018025;0.75;4.97E-05
180;400;0.0001;0.000309824;0.05;0.021117703;0.75;4.43E-05
