element number;node1;node2;center of mass;;normal vector;;area in m
;;;x-coordinate in m;y-coordinate in m;x-part of vector in m;y-part of vector in m;
1;1;2;1.198694877;0.829867081;0.997203797;0.074730094;0.019944553
2;2;3;1.196709658;0.849706357;0.992239207;0.124343705;0.019944553
3;3;4;1.193738;0.869422016;0.984807753;0.173648178;0.019944553
4;4;5;1.189787292;0.888965042;0.974927912;0.222520934;0.019944553
5;5;6;1.184867356;0.908286849;0.962624247;0.270840468;0.019944553
6;6;7;1.178990423;0.927339398;0.947927346;0.31848665;0.019944553
7;7;8;1.172171104;0.946075322;0.930873749;0.365341024;0.019944553
8;8;9;1.164426354;0.964448041;0.911505852;0.411287103;0.019944553
9;9;10;1.155775426;0.982411878;0.889871809;0.456210657;0.019944553
10;10;11;1.146239829;0.999922171;0.866025404;0.5;0.019944553
11;11;12;1.135843269;1.016935387;0.840025923;0.542546264;0.019944553
12;12;13;1.124611594;1.033409228;0.811938006;0.583743672;0.019944553
13;13;14;1.112572728;1.049302738;0.781831482;0.623489802;0.019944553
14;14;15;1.099756601;1.064576404;0.749781203;0.661685838;0.019944553
15;15;16;1.086195076;1.079192252;0.715866849;0.698236818;0.019944553
16;16;17;1.071921869;1.093113945;0.680172738;0.733051872;0.019944553
17;17;18;1.056972466;1.106306871;0.64278761;0.766044443;0.019944553
18;18;19;1.041384032;1.118738232;0.60380441;0.797132507;0.019944553
19;19;20;1.025195325;1.13037712;0.563320058;0.826238774;0.019944553
20;20;21;1.00844659;1.1411946;0.521435203;0.853290882;0.019944553
21;21;22;0.991179469;1.151163777;0.478253979;0.878221573;0.019944553
22;22;23;0.97343689;1.160259866;0.433883739;0.900968868;0.019944553
23;23;24;0.955262963;1.168460254;0.388434796;0.921476212;0.019944553
24;24;25;0.936702873;1.175744553;0.342020143;0.939692621;0.019944553
25;25;26;0.917802761;1.182094653;0.294755174;0.955572806;0.019944553
26;26;27;0.898609618;1.187494766;0.246757398;0.969077286;0.019944553
27;27;28;0.87917116;1.191931467;0.198146143;0.980172488;0.019944553
28;28;29;0.859535714;1.195393726;0.149042266;0.988830826;0.019944553
29;29;30;0.839752097;1.197872935;0.099567847;0.995030775;0.019944553
30;30;31;0.819869495;1.19936293;0.049845886;0.998756921;0.019944553
31;31;32;0.799937338;1.199860007;0;1;0.019944553
32;32;33;0.780005181;1.19936293;-0.049845886;0.998756921;0.019944553
33;33;34;0.760122578;1.197872935;-0.099567847;0.995030775;0.019944553
34;34;35;0.740338961;1.195393726;-0.149042266;0.988830826;0.019944553
35;35;36;0.720703515;1.191931467;-0.198146143;0.980172488;0.019944553
36;36;37;0.701265057;1.187494766;-0.246757398;0.969077286;0.019944553
37;37;38;0.682071914;1.182094653;-0.294755174;0.955572806;0.019944553
38;38;39;0.663171803;1.175744553;-0.342020143;0.939692621;0.019944553
39;39;40;0.644611712;1.168460254;-0.388434796;0.921476212;0.019944553
40;40;41;0.626437786;1.160259866;-0.433883739;0.900968868;0.019944553
41;41;42;0.608695206;1.151163777;-0.478253979;0.878221573;0.019944553
42;42;43;0.591428085;1.1411946;-0.521435203;0.853290882;0.019944553
43;43;44;0.57467935;1.13037712;-0.563320058;0.826238774;0.019944553
44;44;45;0.558490643;1.118738232;-0.60380441;0.797132507;0.019944553
45;45;46;0.54290221;1.106306871;-0.64278761;0.766044443;0.019944553
