element number;node1;node2;center of mass;;normal vector;;area in m
46;46;47;0.527952807;1.093113945;-0.680172738;0.733051872;0.019944553
47;47;48;0.5136796;1.079192252;-0.715866849;0.698236818;0.019944553
48;48;49;0.500118075;1.064576404;-0.749781203;0.661685838;0.019944553
49;49;50;0.487301948;1.049302738;-0.781831482;0.623489802;0.019944553
50;50;51;0.475263081;1.033409228;-0.811938006;0.583743672;0.019944553
51;51;52;0.464031406;1.016935387;-0.840025923;0.542546264;0.019944553
52;52;53;0.453634847;0.999922171;-0.866025404;0.5;0.019944553
53;53;54;0.444099249;0.982411878;-0.889871809;0.456210657;0.019944553
54;54;55;0.435448322;0.964448041;-0.911505852;0.411287103;0.019944553
55;55;56;0.427703571;0.946075322;-0.930873749;0.365341024;0.019944553
56;56;57;0.420884252;0.927339398;-0.947927346;0.31848665;0.019944553
57;57;58;0.415007319;0.908286849;-0.962624247;0.270840468;0.019944553
58;58;59;0.410087383;0.888965042;-0.974927912;0.222520934;0.019944553
59;59;60;0.406136675;0.869422016;-0.984807753;0.173648178;0.019944553
60;60;61;0.403165017;0.849706357;-0.992239207;0.124343705;0.019944553
61;61;62;0.401179798;0.829867081;-0.997203797;0.074730094;0.019944553
62;62;63;0.400185953;0.809953511;-0.999689182;0.024930692;0.019944553
63;63;64;0.400185953;0.790015157;-0.999689182;-0.024930692;0.019944553
64;64;65;0.401179798;0.770101588;-0.997203797;-0.074730094;0.019944553
65;65;66;0.403165017;0.750262312;-0.992239207;-0.124343705;0.019944553
66;66;67;0.406136675;0.730546652;-0.984807753;-0.173648178;0.019944553
67;67;68;0.410087383;0.711003626;-0.974927912;-0.222520934;0.019944553
68;68;69;0.415007319;0.69168182;-0.962624247;-0.270840468;0.019944553
69;69;70;0.420884252;0.672629271;-0.947927346;-0.31848665;0.019944553
70;70;71;0.427703571;0.653893346;-0.930873749;-0.365341024;0.019944553
71;71;72;0.435448322;0.635520627;-0.911505852;-0.411287103;0.019944553
72;72;73;0.444099249;0.617556791;-0.889871809;-0.456210657;0.019944553
73;73;74;0.453634847;0.600046498;-0.866025404;-0.5;0.019944553
74;74;75;0.464031406;0.583033282;-0.840025923;-0.542546264;0.019944553
75;75;76;0.475263081;0.566559441;-0.811938006;-0.583743672;0.019944553
76;76;77;0.487301948;0.55066593;-0.781831482;-0.623489802;0.019944553
77;77;78;0.500118075;0.535392265;-0.749781203;-0.661685838;0.019944553
78;78;79;0.5136796;0.520776417;-0.715866849;-0.698236818;0.019944553
79;79;80;0.527952807;0.506854724;-0.680172738;-0.733051872;0.019944553
80;80;81;0.54290221;0.493661797;-0.64278761;-0.766044443;0.019944553
81;81;82;0.558490643;0.481230437;-0.60380441;-0.797132507;0.019944553
82;82;83;0.57467935;0.469591548;-0.563320058;-0.826238774;0.019944553
83;83;84;0.591428085;0.458774069;-0.521435203;-0.853290882;0.019944553
84;84;85;0.608695206;0.448804892;-0.478253979;-0.878221573;0.019944553
85;85;86;0.626437786;0.439708802;-0.433883739;-0.900968868;0.019944553
86;86;87;0.644611712;0.431508414;-0.388434796;-0.921476212;0.019944553
87;87;88;0.663171803;0.424224115;-0.342020143;-0.939692621;0.019944553
88;88;89;0.682071914;0.417874016;-0.294755174;-0.955572806;0.019944553
89;89;90;0.701265057;0.412473902;-0.246757398;-0.969077286;0.019944553
90;90;91;0.720703515;0.408037201;-0.198146143;-0.980172488;0.019944553
91;91;92;0.740338961;0.404574942;-0.149042266;-0.988830826;0.019944553
92;92;93;0.760122578;0.402095734;-0.099567847;-0.995030775;0.019944553
93;93;94;0.780005181;0.400605738;-0.049845886;-0.998756921;0.019944553
94;94;95;0.799937338;0.400108661;0;-1;0.019944553
95;95;96;0.819869495;0.400605738;0.049845886;-0.998756921;0.019944553
96;96;97;0.839752097;0.402095734;0.099567847;-0.995030775;0.019944553
97;97;98;0.859535714;0.404574942;0.149042266;-0.988830826;0.019944553
98;98;99;0.87917116;0.408037201;0.198146143;-0.980172488;0.019944553
99;99;100;0.898609618;0.412473902;0.246757398;-0.969077286;0.019944553
100;100;101;0.917802761;0.417874016;0.294755174;-0.955572806;0.019944553
101;101;102;0.936702873;0.424224115;0.342020143;-0.939692621;0.019944553
102;102;103;0.955262963;0.431508414;0.388434796;-0.921476212;0.019944553
103;103;104;0.97343689;0.439708802;0.433883739;-0.900968868;0.019944553
104;104;105;0.991179469;0.448804892;0.478253979;-0.878221573;0.019944553
105;105;106;1.00844659;0.458774069;0.521435203;-0.853290882;0.019944553
106;106;107;1.025195325;0.469591548;0.563320058;-0.826238774;0.019944553
107;107;108;1.041384032;0.481230437;0.60380441;-0.797132507;0.019944553
108;108;109;1.056972466;0.493661797;0.64278761;-0.766044443;0.019944553
109;109;110;1.071921869;0.506854724;0.680172738;-0.733051872;0.019944553
110;110;111;1.086195076;0.520776417;0.715866849;-0.698236818;0.019944553
111;111;112;1.099756601;0.535392265;0.749781203;-0.661685838;0.019944553
112;112;113;1.112572728;0.55066593;0.781831482;-0.623489802;0.019944553
113;113;114;1.124611594;0.566559441;0.811938006;-0.583743672;0.019944553
114;114;115;1.135843269;0.583033282;0.840025923;-0.542546264;0.019944553
115;115;116;1.146239829;0.600046498;0.866025404;-0.5;0.019944553
116;116;117;1.155775426;0.617556791;0.889871809;-0.456210657;0.019944553
117;117;118;1.164426354;0.635520627;0.911505852;-0.411287103;0.019944553
118;118;119;1.172171104;0.653893346;0.930873749;-0.365341024;0.019944553
119;119;120;1.178990423;0.672629271;0.947927346;-0.31848665;0.019944553
120;120;121;1.184867356;0.69168182;0.962624247;-0.270840468;0.019944553
121;121;122;1.189787292;0.711003626;0.974927912;-0.222520934;0.019944553
122;122;123;1.193738;0.730546652;0.984807753;-0.173648178;0.019944553
123;123;124;1.196709658;0.750262312;0.992239207;-0.124343705;0.019944553
124;124;125;1.198694877;0.770101588;0.997203797;-0.074730094;0.019944553
125;125;126;1.199688722;0.790015157;0.999689182;-0.024930692;0.019944553
126;126;1;1.199688722;0.809953511;0.999689182;0.024930692;0.019944553
127;127;128;1.599310817;0.830014057;-0.999295122;-0.037540093;0.020025566
128;128;129;1.59830873;0.850012964;-0.998042415;-0.062540685;0.020025566
129;129;130;1.596806384;0.869980523;-0.996164336;-0.08750209;0.020025566
130;130;131;1.594804721;0.889904223;-0.993662061;-0.112408665;0.020025566
131;131;132;1.592304995;0.909771579;-0.990537159;-0.137244805;0.020025566
132;132;133;1.589308773;0.929570142;-0.986791587;-0.161994948;0.020025566
133;133;134;1.585817931;0.949287507;-0.982427693;-0.186643585;0.020025566
134;134;135;1.581834657;0.968911319;-0.977448211;-0.211175272;0.020025566
135;135;136;1.577361447;0.988429281;-0.97185626;-0.235574636;0.020025566
136;136;137;1.572401104;1.007829164;-0.965655346;-0.259826389;0.020025566
137;137;138;1.566956736;1.027098812;-0.958849353;-0.283915336;0.020025566
138;138;139;1.561031755;1.04622615;-0.951442546;-0.307826381;0.020025566
139;139;140;1.554629873;1.065199193;-0.943439567;-0.331544543;0.020025566
140;140;141;1.547755101;1.084006053;-0.934845429;-0.355054959;0.020025566
141;141;142;1.540411748;1.102634945;-0.925665518;-0.378342899;0.020025566
142;142;143;1.532604414;1.121074197;-0.915905586;-0.401393769;0.020025566
143;143;144;1.524337991;1.139312254;-0.905571749;-0.424193126;0.020025566
144;144;145;1.51561766;1.157337689;-0.894670481;-0.446726684;0.020025566
145;145;146;1.506448885;1.175139206;-0.883208614;-0.468980324;0.020025566
146;146;147;1.49683741;1.192705652;-0.871193329;-0.490940101;0.020025566
147;147;148;1.486789259;1.210026019;-0.858632156;-0.512592256;0.020025566
148;148;149;1.476310726;1.227089454;-0.845532965;-0.533923221;0.020025566
149;149;150;1.465408379;1.243885266;-0.831903963;-0.55491963;0.020025566
150;150;151;1.454089049;1.26040293;-0.817753692;-0.575568327;0.020025566
151;151;152;1.442359828;1.276632096;-0.803091017;-0.595856374;0.020025566
152;152;153;1.430228065;1.292562595;-0.787925126;-0.615771058;0.020025566
153;153;154;1.417701363;1.308184445;-0.772265522;-0.6352999;0.020025566
154;154;155;1.404787571;1.323487858;-0.756122017;-0.654430665;0.020025566
155;155;156;1.391494781;1.338463244;-0.739504727;-0.673151363;0.020025566
156;156;157;1.377831321;1.353101219;-0.722424065;-0.691450266;0.020025566
157;157;158;1.363805753;1.367392612;-0.704890732;-0.709315907;0.020025566
158;158;159;1.349426866;1.381328468;-0.686915715;-0.726737091;0.020025566
159;159;160;1.33470367;1.394900054;-0.668510278;-0.743702903;0.020025566
160;160;161;1.31964539;1.408098867;-0.649685953;-0.760202711;0.020025566
161;161;162;1.304261461;1.420916636;-0.630454536;-0.776226177;0.020025566
162;162;163;1.288561523;1.433345329;-0.610828076;-0.791763261;0.020025566
163;163;164;1.272555414;1.445377159;-0.590818873;-0.806804226;0.020025566
164;164;165;1.256253163;1.457004587;-0.570439462;-0.821339649;0.020025566
165;165;166;1.239664984;1.468220326;-0.549702616;-0.835360422;0.020025566
166;166;167;1.222801273;1.47901735;-0.528621326;-0.848857758;0.020025566
167;167;168;1.205672596;1.489388892;-0.507208802;-0.861823202;0.020025566
168;168;169;1.188289686;1.499328454;-0.485478462;-0.874248628;0.020025566
169;169;170;1.170663435;1.508829808;-0.463443922;-0.88612625;0.020025566
170;170;171;1.152804887;1.517887;-0.441118988;-0.897448627;0.020025566
171;171;172;1.134725232;1.526494355;-0.41851765;-0.908208664;0.020025566
172;172;173;1.1164358;1.534646479;-0.395654069;-0.918399618;0.020025566
173;173;174;1.09794805;1.542338265;-0.372542572;-0.928015104;0.020025566
174;174;175;1.079273568;1.549564894;-0.349197639;-0.937049096;0.020025566
175;175;176;1.060424053;1.556321835;-0.3256339;-0.945495935;0.020025566
176;176;177;1.041411318;1.562604857;-0.301866119;-0.953350327;0.020025566
177;177;178;1.022247275;1.568410021;-0.27790919;-0.960607351;0.020025566
178;178;179;1.002943933;1.573733691;-0.253778122;-0.967262459;0.020025566
179;179;180;0.983513388;1.57857253;-0.229488038;-0.973311482;0.020025566
180;180;181;0.963967813;1.582923506;-0.205054156;-0.978750629;0.020025566
181;181;182;0.944319458;1.586783894;-0.180491788;-0.983576491;0.020025566
182;182;183;0.924580633;1.590151274;-0.155816324;-0.987786046;0.020025566
183;183;184;0.904763707;1.593023537;-0.131043226;-0.991376655;0.020025566
184;184;185;0.884881096;1.595398882;-0.106188016;-0.994346069;0.020025566
185;185;186;0.86494526;1.597275821;-0.081266268;-0.996692427;0.020025566
186;186;187;0.84496869;1.598653178;-0.0562936;-0.998414258;0.020025566
187;187;188;0.824963903;1.59953009;-0.031285658;-0.999510484;0.020025566
188;188;189;0.804943435;1.599906007;-0.006258112;-0.999980418;0.020025566
189;189;190;0.78491983;1.599780695;0.018773355;-0.999823765;0.020025566
190;190;191;0.764905635;1.599154231;0.043793059;-0.999040624;0.020025566
191;191;192;0.74491339;1.598027008;0.068785322;-0.997631485;0.020025566
192;192;193;0.724955624;1.596399733;0.093734484;-0.995597231;0.020025566
193;193;194;0.705044841;1.594273424;0.118624912;-0.992939137;0.020025566
194;194;195;0.685193518;1.591649415;0.14344101;-0.989658869;0.020025566
195;195;196;0.665414093;1.588529349;0.168167228;-0.985758481;0.020025566
196;196;197;0.64571896;1.584915182;0.192788073;-0.981240419;0.020025566
197;197;198;0.62612046;1.580809178;0.217288117;-0.976107512;0.020025566
198;198;199;0.606630874;1.576213911;0.241652008;-0.970362977;0.020025566
199;199;200;0.587262413;1.571132258;0.265864481;-0.964010414;0.020025566
200;200;201;0.568027214;1.565567405;0.289910363;-0.957053803;0.020025566
201;201;202;0.54893733;1.559522839;0.313774587;-0.949497503;0.020025566
202;202;203;0.530004722;1.553002347;0.337442201;-0.941346249;0.020025566
203;203;204;0.511241253;1.546010014;0.360898374;-0.932605149;0.020025566
204;204;205;0.492658681;1.538550223;0.384128408;-0.923279679;0.020025566
205;205;206;0.47426865;1.530627647;0.407117748;-0.913375683;0.020025566
206;206;207;0.456082682;1.522247251;0.429851989;-0.902899368;0.020025566
207;207;208;0.438112174;1.513414285;0.452316884;-0.891857296;0.020025566
208;208;209;0.420368384;1.504134285;0.474498359;-0.880256388;0.020025566
209;209;210;0.402862432;1.494413066;0.496382513;-0.868103911;0.020025566
210;210;211;0.385605287;1.484256718;0.517955634;-0.855407482;0.020025566
211;211;212;0.368607761;1.473671606;0.539204205;-0.842175056;0.020025566
212;212;213;0.351880506;1.462664363;0.560114912;-0.828414924;0.020025566
213;213;214;0.335434004;1.451241885;0.580674651;-0.814135707;0.020025566
214;214;215;0.319278558;1.439411329;0.600870539;-0.799346355;0.020025566
215;215;216;0.303424293;1.427180109;0.620689924;-0.784056132;0.020025566
216;216;217;0.287881142;1.41455589;0.640120384;-0.768274622;0.020025566
217;217;218;0.272658845;1.40154658;0.659149746;-0.752011711;0.020025566
218;218;219;0.25776694;1.388160332;0.677766085;-0.73527759;0.020025566
219;219;220;0.243214759;1.374405534;0.695957737;-0.718082745;0.020025566
220;220;221;0.229011419;1.360290804;0.713713302;-0.70043795;0.020025566
221;221;222;0.215165821;1.345824986;0.731021656;-0.682354262;0.020025566
222;222;223;0.20168664;1.331017145;0.747871952;-0.663843011;0.020025566
223;223;224;0.188582322;1.31587656;0.764253632;-0.644915798;0.020025566
224;224;225;0.175861079;1.300412718;0.780156432;-0.62558448;0.020025566
225;225;226;0.163530881;1.284635307;0.795570387;-0.605861172;0.020025566
226;226;227;0.151599454;1.268554215;0.810485838;-0.585758232;0.020025566
227;227;228;0.140074276;1.252179517;0.82489344;-0.565288257;0.020025566
228;228;229;0.128962567;1.235521475;0.838784164;-0.544464072;0.020025566
229;229;230;0.118271289;1.218590525;0.852149307;-0.523298727;0.020025566
230;230;231;0.108007144;1.201397277;0.864980495;-0.501805484;0.020025566
231;231;232;0.09817656;1.183952504;0.877269686;-0.47999781;0.020025566
232;232;233;0.0887857;1.166267137;0.889009182;-0.45788937;0.020025566
233;233;234;0.079840446;1.148352258;0.900191625;-0.435494016;0.020025566
234;234;235;0.071346404;1.130219092;0.910810009;-0.412825783;0.020025566
235;235;236;0.063308896;1.111879001;0.920857681;-0.389898874;0.020025566
236;236;237;0.055732959;1.093343477;0.930328344;-0.366727654;0.020025566
237;237;238;0.048623339;1.074624135;0.939216065;-0.343326643;0.020025566
238;238;239;0.041984492;1.055732704;0.947515273;-0.319710504;0.020025566
239;239;240;0.035820578;1.036681021;0.95522077;-0.295894035;0.020025566
240;240;241;0.030135458;1.017481024;0.962327727;-0.271892159;0.020025566
241;241;242;0.024932695;0.998144744;0.96883169;-0.247719916;0.020025566
242;242;243;0.020215549;0.978684297;0.974728584;-0.223392452;0.020025566
243;243;244;0.015986976;0.959111877;0.980014714;-0.19892501;0.020025566
244;244;245;0.012249626;0.939439748;0.984686769;-0.174332922;0.020025566
245;245;246;0.009005839;0.919680236;0.988741819;-0.149631597;0.020025566
246;246;247;0.00625765;0.899845722;0.992177325;-0.124836513;0.020025566
247;247;248;0.004006779;0.879948636;0.994991134;-0.099963207;0.020025566
248;248;249;0.002254637;0.860001444;0.997181483;-0.075027264;0.020025566
249;249;250;0.001002323;0.840016646;0.998746999;-0.050044309;0.020025566
250;250;251;0.00025062;0.820006763;0.999686701;-0.025029996;0.020025566
251;251;252;0;0.799984334;1;0;0.020025566
252;252;253;0.00025062;0.779961906;0.999686701;0.025029996;0.020025566
253;253;254;0.001002323;0.759952023;0.998746999;0.050044309;0.020025566
254;254;255;0.002254637;0.739967224;0.997181483;0.075027264;0.020025566
255;255;256;0.004006779;0.720020032;0.994991134;0.099963207;0.020025566
256;256;257;0.00625765;0.700122946;0.992177325;0.124836513;0.020025566
257;257;258;0.009005839;0.680288433;0.988741819;0.149631597;0.020025566
258;258;259;0.012249626;0.660528921;0.984686769;0.174332922;0.020025566
259;259;260;0.015986976;0.640856791;0.980014714;0.19892501;0.020025566
260;260;261;0.020215549;0.621284371;0.974728584;0.223392452;0.020025566
261;261;262;0.024932695;0.601823924;0.96883169;0.247719916;0.020025566
262;262;263;0.030135458;0.582487644;0.962327727;0.271892159;0.020025566
263;263;264;0.035820578;0.563287647;0.95522077;0.295894035;0.020025566
264;264;265;0.041984492;0.544235965;0.947515273;0.319710504;0.020025566
265;265;266;0.048623339;0.525344533;0.939216065;0.343326643;0.020025566
266;266;267;0.055732959;0.506625191;0.930328344;0.366727654;0.020025566
267;267;268;0.063308896;0.488089667;0.920857681;0.389898874;0.020025566
268;268;269;0.071346404;0.469749576;0.910810009;0.412825783;0.020025566
269;269;270;0.079840446;0.45161641;0.900191625;0.435494016;0.020025566
270;270;271;0.0887857;0.433701531;0.889009182;0.45788937;0.020025566
271;271;272;0.09817656;0.416016164;0.877269686;0.47999781;0.020025566
272;272;273;0.108007144;0.398571391;0.864980495;0.501805484;0.020025566
273;273;274;0.118271289;0.381378144;0.852149307;0.523298727;0.020025566
274;274;275;0.128962567;0.364447194;0.838784164;0.544464072;0.020025566
275;275;276;0.140074276;0.347789151;0.82489344;0.565288257;0.020025566
276;276;277;0.151599454;0.331414454;0.810485838;0.585758232;0.020025566
277;277;278;0.163530881;0.315333361;0.795570387;0.605861172;0.020025566
278;278;279;0.175861079;0.299555951;0.780156432;0.62558448;0.020025566
279;279;280;0.188582322;0.284092108;0.764253632;0.644915798;0.020025566
280;280;281;0.20168664;0.268951523;0.747871952;0.663843011;0.020025566
281;281;282;0.215165821;0.254143682;0.731021656;0.682354262;0.020025566
282;282;283;0.229011419;0.239677865;0.713713302;0.70043795;0.020025566
283;283;284;0.243214759;0.225563135;0.695957737;0.718082745;0.020025566
284;284;285;0.25776694;0.211808337;0.677766085;0.73527759;0.020025566
285;285;286;0.272658845;0.198422089;0.659149746;0.752011711;0.020025566
286;286;287;0.287881142;0.185412779;0.640120384;0.768274622;0.020025566
287;287;288;0.303424293;0.172788559;0.620689924;0.784056132;0.020025566
288;288;289;0.319278558;0.160557339;0.600870539;0.799346355;0.020025566
289;289;290;0.335434004;0.148726784;0.580674651;0.814135707;0.020025566
290;290;291;0.351880506;0.137304306;0.560114912;0.828414924;0.020025566
291;291;292;0.368607761;0.126297062;0.539204205;0.842175056;0.020025566
292;292;293;0.385605287;0.11571195;0.517955634;0.855407482;0.020025566
293;293;294;0.402862432;0.105555603;0.496382513;0.868103911;0.020025566
294;294;295;0.420368384;0.095834383;0.474498359;0.880256388;0.020025566
295;295;296;0.438112174;0.086554383;0.452316884;0.891857296;0.020025566
296;296;297;0.456082682;0.077721418;0.429851989;0.902899368;0.020025566
297;297;298;0.47426865;0.069341022;0.407117748;0.913375683;0.020025566
298;298;299;0.492658681;0.061418446;0.384128408;0.923279679;0.020025566
299;299;300;0.511241253;0.053958654;0.360898374;0.932605149;0.020025566
300;300;301;0.530004722;0.046966322;0.337442201;0.941346249;0.020025566
301;301;302;0.54893733;0.04044583;0.313774587;0.949497503;0.020025566
302;302;303;0.568027214;0.034401263;0.289910363;0.957053803;0.020025566
303;303;304;0.587262413;0.02883641;0.265864481;0.964010414;0.020025566
304;304;305;0.606630874;0.023754758;0.241652008;0.970362977;0.020025566
305;305;306;0.62612046;0.01915949;0.217288117;0.976107512;0.020025566
306;306;307;0.64571896;0.015053486;0.192788073;0.981240419;0.020025566
307;307;308;0.665414093;0.011439319;0.168167228;0.985758481;0.020025566
308;308;309;0.685193518;0.008319254;0.14344101;0.989658869;0.020025566
309;309;310;0.705044841;0.005695244;0.118624912;0.992939137;0.020025566
310;310;311;0.724955624;0.003568936;0.093734484;0.995597231;0.020025566
311;311;312;0.74491339;0.00194166;0.068785322;0.997631485;0.020025566
312;312;313;0.764905635;0.000814437;0.043793059;0.999040624;0.020025566
313;313;314;0.78491983;0.000187974;0.018773355;0.999823765;0.020025566
314;314;315;0.804943435;6.27E-05;-0.006258112;0.999980418;0.020025566
315;315;316;0.824963903;0.000438579;-0.031285658;0.999510484;0.020025566
316;316;317;0.84496869;0.001315491;-0.0562936;0.998414258;0.020025566
317;317;318;0.86494526;0.002692848;-0.081266268;0.996692427;0.020025566
318;318;319;0.884881096;0.004569787;-0.106188016;0.994346069;0.020025566
319;319;320;0.904763707;0.006945132;-0.131043226;0.991376655;0.020025566
320;320;321;0.924580633;0.009817394;-0.155816324;0.987786046;0.020025566
321;321;322;0.944319458;0.013184774;-0.180491788;0.983576491;0.020025566
322;322;323;0.963967813;0.017045162;-0.205054156;0.978750629;0.020025566
323;323;324;0.983513388;0.021396139;-0.229488038;0.973311482;0.020025566
324;324;325;1.002943933;0.026234978;-0.253778122;0.967262459;0.020025566
325;325;326;1.022247275;0.031558648;-0.27790919;0.960607351;0.020025566
326;326;327;1.041411318;0.037363812;-0.301866119;0.953350327;0.020025566
327;327;328;1.060424053;0.043646833;-0.3256339;0.945495935;0.020025566
328;328;329;1.079273568;0.050403775;-0.349197639;0.937049096;0.020025566
329;329;330;1.09794805;0.057630403;-0.372542572;0.928015104;0.020025566
330;330;331;1.1164358;0.065322189;-0.395654069;0.918399618;0.020025566
331;331;332;1.134725232;0.073474314;-0.41851765;0.908208664;0.020025566
332;332;333;1.152804887;0.082081669;-0.441118988;0.897448627;0.020025566
333;333;334;1.170663435;0.091138861;-0.463443922;0.88612625;0.020025566
334;334;335;1.188289686;0.100640215;-0.485478462;0.874248628;0.020025566
335;335;336;1.205672596;0.110579777;-0.507208802;0.861823202;0.020025566
336;336;337;1.222801273;0.120951319;-0.528621326;0.848857758;0.020025566
337;337;338;1.239664984;0.131748342;-0.549702616;0.835360422;0.020025566
338;338;339;1.256253163;0.142964082;-0.570439462;0.821339649;0.020025566
339;339;340;1.272555414;0.154591509;-0.590818873;0.806804226;0.020025566
340;340;341;1.288561523;0.166623339;-0.610828076;0.791763261;0.020025566
341;341;342;1.304261461;0.179052033;-0.630454536;0.776226177;0.020025566
342;342;343;1.31964539;0.191869801;-0.649685953;0.760202711;0.020025566
343;343;344;1.33470367;0.205068614;-0.668510278;0.743702903;0.020025566
344;344;345;1.349426866;0.2186402;-0.686915715;0.726737091;0.020025566
345;345;346;1.363805753;0.232576056;-0.704890732;0.709315907;0.020025566
346;346;347;1.377831321;0.246867449;-0.722424065;0.691450266;0.020025566
347;347;348;1.391494781;0.261505425;-0.739504727;0.673151363;0.020025566
348;348;349;1.404787571;0.276480811;-0.756122017;0.654430665;0.020025566
349;349;350;1.417701363;0.291784223;-0.772265522;0.6352999;0.020025566
350;350;351;1.430228065;0.307406073;-0.787925126;0.615771058;0.020025566
351;351;352;1.442359828;0.323336573;-0.803091017;0.595856374;0.020025566
352;352;353;1.454089049;0.339565739;-0.817753692;0.575568327;0.020025566
353;353;354;1.465408379;0.356083403;-0.831903963;0.55491963;0.020025566
354;354;355;1.476310726;0.372879214;-0.845532965;0.533923221;0.020025566
355;355;356;1.486789259;0.38994265;-0.858632156;0.512592256;0.020025566
356;356;357;1.49683741;0.407263017;-0.871193329;0.490940101;0.020025566
357;357;358;1.506448885;0.424829463;-0.883208614;0.468980324;0.020025566
358;358;359;1.51561766;0.44263098;-0.894670481;0.446726684;0.020025566
359;359;360;1.524337991;0.460656415;-0.905571749;0.424193126;0.020025566
360;360;361;1.532604414;0.478894472;-0.915905586;0.401393769;0.020025566
361;361;362;1.540411748;0.497333723;-0.925665518;0.378342899;0.020025566
362;362;363;1.547755101;0.515962615;-0.934845429;0.355054959;0.020025566
363;363;364;1.554629873;0.534769475;-0.943439567;0.331544543;0.020025566
364;364;365;1.561031755;0.553742518;-0.951442546;0.307826381;0.020025566
365;365;366;1.566956736;0.572869856;-0.958849353;0.283915336;0.020025566
366;366;367;1.572401104;0.592139504;-0.965655346;0.259826389;0.020025566
367;367;368;1.577361447;0.611539387;-0.97185626;0.235574636;0.020025566
368;368;369;1.581834657;0.63105735;-0.977448211;0.211175272;0.020025566
369;369;370;1.585817931;0.650681161;-0.982427693;0.186643585;0.020025566
370;370;371;1.589308773;0.670398527;-0.986791587;0.161994948;0.020025566
371;371;372;1.592304995;0.69019709;-0.990537159;0.137244805;0.020025566
372;372;373;1.594804721;0.710064446;-0.993662061;0.112408665;0.020025566
373;373;374;1.596806384;0.729988146;-0.996164336;0.08750209;0.020025566
374;374;375;1.59830873;0.749955705;-0.998042415;0.062540685;0.020025566
375;375;376;1.599310817;0.769954612;-0.999295122;0.037540093;0.020025566
376;376;377;1.599812018;0.789972336;-0.999921672;0.012515979;0.020025566
