node number;x-coordinate in m;y-coordinate in m
1;0;0.2
2;0.02;0.2
3;0.04;0.2
4;0.06;0.2
5;0.08;0.2
6;0.1;0.2
7;0.12;0.2
8;0.14;0.2
9;0.16;0.2
10;0.18;0.2
11;0.2;0.2
12;0.22;0.2
13;0.24;0.2
14;0.26;0.2
15;0.28;0.2
16;0.3;0.2
17;0.32;0.2
18;0.34;0.2
19;0.36;0.2
20;0.38;0.2
21;0.4;0.2
22;0.42;0.2
23;0.44;0.2
24;0.46;0.2
25;0.48;0.2
26;0.5;0.2
27;0.52;0.2
28;0.54;0.2
29;0.56;0.2
30;0.58;0.2
31;0.6;0.2
32;0.6;0.8
33;0.58;0.8
34;0.56;0.8
35;0.54;0.8
36;0.52;0.8
37;0.5;0.8
38;0.48;0.8
39;0.46;0.8
40;0.44;0.8
41;0.42;0.8
42;0.4;0.8
43;0.38;0.8
44;0.36;0.8
45;0.34;0.8
46;0.32;0.8
47;0.3;0.8
48;0.28;0.8
49;0.26;0.8
50;0.24;0.8
51;0.22;0.8
52;0.2;0.8
53;0.18;0.8
54;0.16;0.8
55;0.14;0.8
56;0.12;0.8
57;0.1;0.8
58;0.08;0.8
59;0.06;0.8
60;0.04;0.8
61;0.02;0.8
62;0;0.8
63;0;0.8
64;0;0.78
65;0;0.76
66;0;0.74
67;0;0.72
68;0;0.7
69;0;0.68
70;0;0.66
71;0;0.64
72;0;0.62
73;0;0.6
74;0;0.58
75;0;0.56
76;0;0.54
77;0;0.52
78;0;0.5
79;0;0.48
80;0;0.46
81;0;0.44
82;0;0.42
83;0;0.4
84;0;0.38
85;0;0.36
86;0;0.34
87;0;0.32
88;0;0.3
89;0;0.28
90;0;0.26
91;0;0.24
92;0;0.22
93;0;0.2
94;0.6;0.2
95;0.6;0.220833333
96;0.6;0.241666667
97;0.6;0.2625
98;0.6;0.283333333
99;0.6;0.304166667
100;0.6;0.325
101;0.6;0.345833333
102;0.6;0.366666667
103;0.6;0.3875
104;0.6;0.408333333
105;0.6;0.429166667
106;0.6;0.45
107;0.6;0.55
108;0.6;0.570833333
109;0.6;0.591666667
110;0.6;0.6125
111;0.6;0.633333333
112;0.6;0.654166667
113;0.6;0.675
114;0.6;0.695833333
115;0.6;0.716666667
116;0.6;0.7375
117;0.6;0.758333333
118;0.6;0.779166667
119;0.6;0.8
120;0.61;0
121;0.63;0
122;0.65;0
123;0.67;0
124;0.69;0
125;0.71;0
126;0.73;0
127;0.75;0
128;0.77;0
129;0.79;0
130;0.81;0
131;0.83;0
132;0.85;0
133;0.87;0
134;0.89;0
135;0.91;0
136;0.93;0
137;0.95;0
138;0.97;0
139;0.99;0
140;1.01;0
141;1.03;0
142;1.05;0
143;1.07;0
144;1.09;0
145;1.11;0
146;1.13;0
147;1.15;0
148;1.17;0
149;1.19;0
150;1.21;0
151;1.21;1
152;1.19;1
153;1.17;1
154;1.15;1
155;1.13;1
156;1.11;1
157;1.09;1
158;1.07;1
159;1.05;1
160;1.03;1
161;1.01;1
162;0.99;1
163;0.97;1
164;0.95;1
165;0.93;1
166;0.91;1
167;0.89;1
168;0.87;1
169;0.85;1
170;0.83;1
171;0.81;1
172;0.79;1
173;0.77;1
174;0.75;1
175;0.73;1
176;0.71;1
177;0.69;1
178;0.67;1
179;0.65;1
180;0.63;1
181;0.61;1
182;1.21;0
183;1.21;0.02
184;1.21;0.04
185;1.21;0.06
186;1.21;0.08
187;1.21;0.1
188;1.21;0.12
189;1.21;0.14
190;1.21;0.16
191;1.21;0.18
192;1.21;0.2
193;1.21;0.22
194;1.21;0.24
195;1.21;0.26
196;1.21;0.28
197;1.21;0.3
198;1.21;0.32
199;1.21;0.34
200;1.21;0.36
201;1.21;0.38
202;1.21;0.4
203;1.21;0.42
204;1.21;0.44
205;1.21;0.46
206;1.21;0.48
207;1.21;0.5
208;1.21;0.52
209;1.21;0.54
210;1.21;0.56
211;1.21;0.58
212;1.21;0.6
213;1.21;0.62
214;1.21;0.64
215;1.21;0.66
216;1.21;0.68
217;1.21;0.7
218;1.21;0.72
219;1.21;0.74
220;1.21;0.76
221;1.21;0.78
222;1.21;0.8
223;1.21;0.82
224;1.21;0.84
225;1.21;0.86
226;1.21;0.88
227;1.21;0.9
228;1.21;0.92
229;1.21;0.94
230;1.21;0.96
231;1.21;0.98
232;1.21;1
233;0.61;0
234;0.61;0.020454545
235;0.61;0.040909091
236;0.61;0.061363636
237;0.61;0.081818182
238;0.61;0.102272727
239;0.61;0.122727273
240;0.61;0.143181818
241;0.61;0.163636364
242;0.61;0.184090909
243;0.61;0.204545455
244;0.61;0.225
245;0.61;0.245454545
246;0.61;0.265909091
247;0.61;0.286363636
248;0.61;0.306818182
249;0.61;0.327272727
250;0.61;0.347727273
251;0.61;0.368181818
252;0.61;0.388636364
253;0.61;0.409090909
254;0.61;0.429545455
255;0.61;0.45
256;0.61;0.55
257;0.61;0.570454545
258;0.61;0.590909091
259;0.61;0.611363636
260;0.61;0.631818182
261;0.61;0.652272727
262;0.61;0.672727273
263;0.61;0.693181818
264;0.61;0.713636364
265;0.61;0.734090909
266;0.61;0.754545455
267;0.61;0.775
268;0.61;0.795454545
269;0.61;0.815909091
270;0.61;0.836363636
271;0.61;0.856818182
272;0.61;0.877272727
273;0.61;0.897727273
274;0.61;0.918181818
275;0.61;0.938636364
276;0.61;0.959090909
277;0.61;0.979545455
278;0.61;1
